"count";"username";"datetime";"text"
"86";"mehdi.karimirad";"21:03:56 10-01-2021";"مبارکه 👏"
"87";"bminews";"21:05:07 10-01-2021";"@mohammadmahdi_1389 @beheshti1234567 @ehsan_ahmadi.farda @alikhoddami68 @smza68"
"88";"mohammadamin2080";"21:06:11 10-01-2021";"@mohammadamin_abdolmaleki"
"89";"firstlove1400";"21:06:14 10-01-2021";"واقعا عالی عالی عالی... حرف نداری بانک ملی!"
"90";"mohammadamin_abdolmaleki";"21:07:46 10-01-2021";"خداقوت،شعبه ای بسیار زیبا و به روز👏👏"
"91";"jalilian1307";"21:11:56 10-01-2021";"@elikakhatms ملی پلاس رومجازی ببینید"
"92";"rasooljaberi_";"21:21:42 10-01-2021";"👏👏👏👏"
"93";"asghar.masoumi";"21:25:50 10-01-2021";"یک ابتکار وخلاقیت و ایده جدید است باید تشکر کرد از شما که این امکانات رفاهی را برای مردم فراهم میکنید . 🌹"
"94";"ehsan_dameshghi";"21:26:22 10-01-2021";"👏👏👏👏"
"95";"asghar.masoumi";"21:26:38 10-01-2021";"🌷🌷🌹یک ابتکار وخلاقیت و ایده جدید است باید تشکر کرد از شما که این امکانات رفاهی را برای مردم فراهم میکنید . 🌹🌷🌷"
"96";"asghar.masoumi";"21:27:08 10-01-2021";"👏👏یک ابتکار وخلاقیت و ایده جدید است باید تشکر کرد از شما که این امکانات رفاهی را برای مردم فراهم میکنید . @z.khosravi56 @ngrmasoumi @negin.masou @negiin._.ms @mahshid.kh.1356 👏👏"
"97";"adambarfi207i";"21:33:29 10-01-2021";"درود بر شما 💙💙💙"
"98";"adambarfi207i";"21:33:47 10-01-2021";"بانک ملی ایران 🥇🥇🥇🥇🥇"
"99";"adambarfi207i";"21:34:04 10-01-2021";"خسته نباشید خدا قوت 👏👏👏👏"
"100";"adambarfi207i";"21:35:35 10-01-2021";"واقعا بانک ملی هر روز نسبت به روز قبلش در حال پیشرفت هستش"
"101";"adambarfi207i";"21:35:56 10-01-2021";"بانک ملی بانک نمونه"
"102";"adambarfi207i";"21:36:48 10-01-2021";"عالی"
"103";"adambarfi207i";"21:36:54 10-01-2021";"فوق العاده"
"104";"adambarfi207i";"21:36:59 10-01-2021";"زیباست"
"105";"adambarfi207i";"21:37:36 10-01-2021";"ملی پلاس عالیه"
"106";"adambarfi207i";"21:38:09 10-01-2021";"بهترین"
"107";"mojtaba_bashiri_bmi";"21:44:08 10-01-2021";"نظم و آراستگی در اوج بود و کاملاً حسِّ یک بانک بسیار پیشرفته و نوین رو منتقل می‌کرد. بانک ملّی ایران #یادگار_نیاکان_انتخاب_آیندگان"
"108";"farshad.shafaghati";"21:45:12 10-01-2021";"عالیه....👏"
"109";"mahshid.kh.1356";"21:46:20 10-01-2021";"بسیار زیبا وانقلابی است در شعب بانکی"
"110";"asghar.masoumi";"21:48:06 10-01-2021";"ملی پلاس انقلابی در حوزه بانکداری دیجیتال 👏👏👏👏👏👏"
"111";"asghar.masoumi";"21:57:15 10-01-2021";"🌷🌷🌷ملی پلاس یک بانکداری شیک و دیجیتال به تمام معنا 🌷🌷"
"112";"k.khalili50";"21:57:53 10-01-2021";"بانک ملی یعنی اعتماد🌿🍃🌿🍃بانک ملی یعنی آینده روشن شما🍃🌿🍃🌿بانک ملی یعنی تولید خدمت برای کسب کار شما🌿🍃🌿🍃❤️"
"113";"asghar.masoumi";"21:57:57 10-01-2021";"👏👏👏👏 خیلی قشنگه ممنون از خدماتتون 👏👏👏"
"114";"mohammad__zirak85";"21:59:06 10-01-2021";"من وقتی این عصر ارطباط شعبه را دیدم خیلی خوش حال شدم و قطعا یکی از مشتریان عصر پیشرفته ملی پلاس خواهم شد💙"
"115";"moein_ashrafalsadat";"22:10:40 10-01-2021";"💐💐💐🏦💐💐💐"
"116";"moein_ashrafalsadat";"22:10:58 10-01-2021";"@mehrdad__ash"
"117";"atrisa_.gh";"22:13:12 10-01-2021";"واقعا عالی و بی نظیر هم دیزاین بانک هم کتابخونش"
"118";"atrisa_.gh";"22:13:14 10-01-2021";"هرجا سختن از اعتماد است نام بانک ملی پلاس ایران میدرخشد🌹🌹👌👌👌👌👌👌"
"119";"masihavosoghi";"22:13:33 10-01-2021";"عالی نسل بعدی به این پدیده های نو ظهور افتخار میکنه👏"
"120";"masihavosoghi";"22:13:40 10-01-2021";"@hadi.vossoughi"
"121";"masihavosoghi";"22:13:44 10-01-2021";"@hanieh_vosoughi"
"122";"masihavosoghi";"22:13:48 10-01-2021";"@hamed.v.o"
"123";"samanibaba88";"22:20:02 10-01-2021";"لوگو عالی و کامل بود"
"124";"z.firoz.noroz";"22:21:45 10-01-2021";"🌷🌷🌷احسنت به این همه سلیقه و خلاقیت در بانکداری دیجیتال من که در بازید مجازی ذوق کردم دستماریزاد ، به امید روزی که همچنین شعباتی در تمام شهرهای ایران احداث شود .🌷🌷🌷"
"125";"z.firoz.noroz";"22:22:44 10-01-2021";"@asghar.masoumi @z.firoz.noroz @mahshid.kh.1356"
"126";"z.firoz.noroz";"22:23:01 10-01-2021";"@asghar.masoumi @z.firoz.noroz @mahshid.kh.1356"
"127";"z.firoz.noroz";"22:26:21 10-01-2021";"❤️❤️ احسنت به این همه سلیقه و خلاقیت در بانکداری دیجیتال من که در بازدید مجازی لذت بردم دستماریزاد . به امید روزی که همچنین شعباتی در تمام شهر های ایران احداث شود .❤️❤️"
"128";"negiin._.ms";"22:44:35 10-01-2021";"ابتکار جدید و جالبی بود 👌🏻"
"129";"negiin._.ms";"22:44:41 10-01-2021";"@mahshid.kh.1356"
"130";"rezaee1034";"23:00:54 10-01-2021";"❤️❤️"
"131";"bminews";"23:04:57 10-01-2021";"@ahlam74_"
"132";"moein_ashrafalsadat";"23:11:03 10-01-2021";"🏦 فوق‌العاده است . خیلی پیشرفته و دوست‌داشتنی . طراحی عالی . من نشیمنگاه هایی که در نظر گرفتین و همچنین دستگاههای خدماتی که در بدو ورود قرار گرفتن رو خیلی دوست داشتم . موفق باشید 👍"
"133";"ahlam74_";"23:19:15 10-01-2021";"@bminews 👍"
"134";"sami.ghobadi98";"23:20:16 10-01-2021";"عالی و زیبا و منظم و منحصر به فرد"
"135";"mantosarayeiranian";"23:21:24 10-01-2021";"خیلی عالی و بی نظیر❤️❤️"
"136";"hamed68515";"23:22:17 10-01-2021";"لذت بخش و منحصر بفرد ❤️❤️❤️"
"137";"mbabaei1323";"23:22:54 10-01-2021";"خیلی عالی 👏👏👏👏"
"138";"smat4066";"23:24:44 10-01-2021";"بوی پیشرفت به دماغم میرسد...انگار بیدار شدیم دیر بیدار شدیم اما مهم این است بلاخره بیدار شدیم بهتر از همیشه خوابیدن است…مبارکه"
"139";"z.y.1323";"23:30:38 10-01-2021";"خیلی هم عالی"
"140";"z.y.1323";"23:31:43 10-01-2021";"من که بانک ملی حساب دارم راضی ام خیلی خوبه"
"141";"z.y.1323";"23:32:13 10-01-2021";"ان شالله افتتاح حساب در این بانک و کیف پر از پول🙏🙏🙏🙏"
"142";"el.ceramic";"23:37:23 10-01-2021";"همه چیز عالی و تحسین برانگیز👏🍃"
"143";"el.ceramic";"23:37:51 10-01-2021";"کتابخونهههه😍"
"144";"ali253643";"23:39:50 10-01-2021";"خیلی عالیه"
"145";"shahinrsgis";"23:42:30 10-01-2021";"بسیار زیبا و⚘⚘🌷🌹و عالی و خشگل"
"146";"amir.javan1400";"23:47:55 10-01-2021";"عالی بود..."
